Timestamp,您的教龄是？,您过去一年参加过的教学类培训次数是？,您所在学校的类型是？,在通用技术教学中，您遇到的主要困难是？,您认为当前通用技术课堂学生的整体参与度如何？,您最希望从本次培训中获得哪方面的提升？,您对本次培训有什么具体期待或建议？
2026-06-11,20年以上,3-5次,普通高中,"课时不足难以深入开展项目,不了解学生的学习需求和兴趣,教学评价方式单一",一般，一半学生比较投入,课堂动手实践活动的组织方法,希望能学到实用的项目设计方法
2026-06-12,11-20年,1-2次,普通高中,"自身专业知识储备不足,课时不足难以深入开展项目",较低，只有少部分学生认真参与,项目式学习(PBL)课程设计能力,期待与其他老师交流经验
2026-06-13,4-10年,3-5次,普通高中,"缺乏合适的教学工具和器材,不了解学生的学习需求和兴趣",很低，学生普遍缺乏兴趣,项目式学习(PBL)课程设计能力,希望培训内容贴近实际教学
2026-06-14,4-10年,5次以上,省级示范高中,"教学评价方式单一,缺乏合适的教学工具和器材",一般，一半学生比较投入,课堂动手实践活动的组织方法,想获得可落地的教学案例
2026-06-15,11-20年,1-2次,其他,"自身专业知识储备不足,课时不足难以深入开展项目,不了解学生的学习需求和兴趣",较低，只有少部分学生认真参与,项目式学习(PBL)课程设计能力,期待提升学生的动手能力
2026-06-16,0-3年,3-5次,普通高中,"课程设计缺乏系统性,课时不足难以深入开展项目,自身专业知识储备不足",一般，一半学生比较投入,教学工具与教具的开发制作,希望能解决器材不足的问题
2026-06-17,20年以上,3-5次,市级重点高中,"缺乏合适的教学工具和器材,课程设计缺乏系统性,学生动手实践参与度低",较低，只有少部分学生认真参与,学生学习评估与反馈策略,想要系统的课程设计框架
2026-06-18,4-10年,0次,普通高中,"缺乏合适的教学工具和器材,课程设计缺乏系统性,教学评价方式单一",较高，多数学生能跟着节奏走,项目式学习(PBL)课程设计能力,希望能改善课堂管理
2026-06-19,0-3年,1-2次,市级重点高中,"缺乏合适的教学工具和器材,学生动手实践参与度低,教学评价方式单一",很低，学生普遍缺乏兴趣,教学工具与教具的开发制作,期待了解新技术在课堂中的应用
2026-06-20,0-3年,5次以上,普通高中,"课时不足难以深入开展项目,教学评价方式单一,自身专业知识储备不足",一般，一半学生比较投入,课堂动手实践活动的组织方法,希望能设计出更好的评价方案
2026-06-21,20年以上,3-5次,普通高中,"学生动手实践参与度低,课程设计缺乏系统性",较低，只有少部分学生认真参与,项目式学习(PBL)课程设计能力,想学习如何激发学生兴趣
2026-06-22,11-20年,3-5次,市级重点高中,"缺乏合适的教学工具和器材,课程设计缺乏系统性",较高，多数学生能跟着节奏走,跨学科融合教学设计,希望培训不要太理论化
2026-06-23,11-20年,0次,普通高中,"课程设计缺乏系统性,自身专业知识储备不足",较低，只有少部分学生认真参与,项目式学习(PBL)课程设计能力,期待有实操环节
2026-06-24,4-10年,3-5次,市级重点高中,"缺乏合适的教学工具和器材,课程设计缺乏系统性,自身专业知识储备不足",一般，一半学生比较投入,项目式学习(PBL)课程设计能力,想了解其他学校的做法
2026-06-25,20年以上,3-5次,普通高中,"教学评价方式单一,缺乏合适的教学工具和器材",较低，只有少部分学生认真参与,项目式学习(PBL)课程设计能力,希望能带回可用的教学资源
2026-06-26,4-10年,0次,普通高中,"课时不足难以深入开展项目,缺乏合适的教学工具和器材,课程设计缺乏系统性",较低，只有少部分学生认真参与,教学工具与教具的开发制作,期待互动性强的培训
2026-06-27,11-20年,1-2次,普通高中,"不了解学生的学习需求和兴趣,教学评价方式单一,自身专业知识储备不足",一般，一半学生比较投入,课堂动手实践活动的组织方法,想要实用的工具和模板
2026-06-28,20年以上,1-2次,普通高中,"教学评价方式单一,缺乏合适的教学工具和器材",一般，一半学生比较投入,教学工具与教具的开发制作,希望能解决课时不足的困境
2026-06-29,20年以上,5次以上,普通高中,"不了解学生的学习需求和兴趣,学生动手实践参与度低,自身专业知识储备不足",较低，只有少部分学生认真参与,课堂动手实践活动的组织方法,期待跨学科融合的案例
2026-06-30,4-10年,1-2次,其他,"缺乏合适的教学工具和器材,课程设计缺乏系统性",很低，学生普遍缺乏兴趣,学生学习评估与反馈策略,想提升自己的专业能力
2026-06-01,20年以上,1-2次,省级示范高中,"不了解学生的学习需求和兴趣,学生动手实践参与度低",较低，只有少部分学生认真参与,项目式学习(PBL)课程设计能力,希望学到项目式学习的完整流程
